Release Date,Episode Title,pos,neg,neu,compound,Season,Episode,Name,Sentence
06/08/2017,The Spoils Of War,0.0,0.0,1.0,0.0,7.0,4.0,jaime lannister,looks at DAENERYS and readies himself. He spurs his horse onward.
06/08/2017,The Spoils Of War,0.0,0.118,0.882,-0.6908,7.0,4.0,jaime lannister,grabs the spear as he rides by and brings it up to position. JAIME's horse is galloping full speed on the edge of the river kicking up water. TYRION is watching JAIME's attempt to kill DAENERYS.
06/08/2017,The Spoils Of War,0.036,0.084,0.881,-0.5106,7.0,4.0,jaime lannister,"is getting close. DAENERYS turns at the last moment to see JAIME bearing down on her spear in hand. DROGON notices JAIME, turns his head and spews flames. BRONN appears from nowhere and manages to dive off of his horse and knock JAIME and himself in the water before they're both consumed by fire. Their horses are instantly burned to death. JAIME is being dragged down by a full set of armor into the dark water. JAIME sinks into blackness and out of sight."
13/08/2017,Eastwatch,0.0,0.153,0.847,-0.8225,7.0,5.0,tyrion lannister,is walking over an ash covered ground. There are burned bodies and cargo strewn about. Dothraki are looting dead Lannister soldies. A group of mounted Dothraki are escorting captured Lannister soldiers to where DAENERYS and DROGON are awaiting the prisoners. DAENERYS addresses the captured soldiers.
13/08/2017,Eastwatch,0.0,0.0,1.0,0.0,7.0,5.0,randyll,takes several steps towards DAENERYS and stands in front of the kneeling Lannister men.
13/08/2017,Eastwatch,0.0,0.0,1.0,0.0,7.0,5.0,tyrion lannister,turns to speak to DAENERYS.
13/08/2017,Eastwatch,0.0,0.114,0.886,-0.2342,7.0,5.0,tyrion lannister,turns to speak to DAENERYS. He speaks softly so no one but the queen can hear.
13/08/2017,Eastwatch,0.0,0.139,0.861,-0.8591,7.0,5.0,drogon,draws a deep breath and begins spewing dragonfire at the two men. They are instantly engulfed in flames. They both collapse into ash after a few seconds. There are two craters left where RANDYLL and DICKON stood. The Lannister men recoil in horror. Any Lannister soldier that was still standing kneels to the ground. DAENERYS silently turns and begins to walk off the battlefield.
13/08/2017,Eastwatch,0.073,0.04,0.887,0.4588,7.0,5.0,jon snow,SNOW is standing on the edge of a cliff looking towards the ocean. DROGON roars and flies over him with DAENERYS on his back. DROGON lands next to JON and charges towards him. DROGON opens his jaws and roars in JON's face. DROGON creeps closer until he is inches from JON. JON removes his glove and slowly extends his hand toward DROGON. DROGON lowers his head and allows JON to touch him. DAENERYS looks surprised and steps down from her mount. DROGON turns and flies away.
13/08/2017,Eastwatch,0.0,0.0,1.0,0.0,7.0,5.0,jon snow,doesn't say anything. A group of Dothraki guards approach DAENERYS and speak in their native tongue.
13/08/2017,Eastwatch,0.0,0.0,1.0,0.0,7.0,5.0,jorah mormont,kneels before DAENERYS.
13/08/2017,Eastwatch,0.063,0.0,0.937,0.4404,7.0,5.0,marwyn,It could be done. And this news could be authentic. It's possible. It's also possible this message is part of a ploy by the dragon queen to lure southern armies away from the lands they are currently defending to open those lands to easy conquest.
13/08/2017,Eastwatch,0.0,0.0,1.0,0.0,7.0,5.0,tyrion lannister,Daenerys is not her father.
13/08/2017,Eastwatch,0.164,0.261,0.575,-0.6731,7.0,5.0,tyrion lannister,Daenerys will win this war. You're a military man. You must know there is no way around it. Daenerys is not her father. She's even willing to suspend hostilities if Cersei agrees to certain terms.
13/08/2017,Eastwatch,0.149,0.0,0.851,0.2716,7.0,5.0,tyrion lannister,I -- I don't. Daenerys doesn't. Not right now anyway. She has a more important request.
13/08/2017,Eastwatch,0.0,0.0,1.0,0.0,7.0,5.0,jaime lannister,Daenerys wants to meet.
13/08/2017,Eastwatch,0.133,0.134,0.733,-0.2732,7.0,5.0,cersei lannister,"I've come to believe that accomodation with the Dragon Queen could be in our immediate interest. She has the numbers. If we want to beat her we have to be clever. We have to fight her like father would have. Dead men, dragons and Dragon Queens, whatever stands in our way we will defeat it ourselves for our house. For this."
13/08/2017,Eastwatch,0.0,0.0,1.0,0.0,7.0,5.0,jorah mormont,nods to TYRION. DAENERYS appears and walks up to JORAH.
20/08/2017,Beyond the Wall,0.116,0.199,0.685,-0.4515,7.0,6.0,tormund,"Smart people don't come up here looking for the dead. So, you met this Dragon Queen, huh? And?"
20/08/2017,Beyond the Wall,0.0,0.124,0.876,-0.34,7.0,6.0,tyrion lannister,is sitting in a chair staring into the fire. DAENERYS stands across the room next to the painted table.
20/08/2017,Beyond the Wall,0.0,0.0,1.0,0.0,7.0,6.0,tyrion lannister,turns to look at DAENERYS.
27/08/2017,The Dragon and the Wolf,0.08,0.0,0.92,0.4215,7.0,7.0,jon snow,I am true to my word. Or I try to be. That is why I cannot give you what you ask. I cannot serve two queens. And I have already pledged myself to Queen Daenerys of House Targaryen.
27/08/2017,The Dragon and the Wolf,0.063,0.159,0.778,-0.0813,7.0,7.0,tyrion lannister,I am the one preventing that from happening. Daenerys didn't want to debate and negotiate. She didn't want to bring you words. She wanted to bring you fire and blood until I advised her otherwise. I don't want to destroy our family. I never have.
27/08/2017,The Dragon and the Wolf,0.0,0.14,0.86,-0.3818,7.0,7.0,sansa stark,"This is his writing, his signature. He pledged to fight for Daenerys Targaryen. He's bent the knee."
27/08/2017,The Dragon and the Wolf,0.302,0.122,0.576,0.5413,7.0,7.0,petyr baelish,I've heard gossip that the Dragon Queen is quite beautiful.
27/08/2017,The Dragon and the Wolf,0.0,0.0,1.0,0.0,7.0,7.0,petyr baelish,Jon is young and unmarried. Daenerys is young and unmarried.
27/08/2017,The Dragon and the Wolf,0.063,0.22,0.716,-0.6908,7.0,7.0,theon greyjoy,"What you did in King's Landing, what you said... You couldo ve lied to Cersei about bending the knee to Daenerys. You risked everything to tell an enemy the truth."
27/08/2017,The Dragon and the Wolf,0.118,0.0,0.882,0.25,7.0,7.0,bran stark,He's on his way back to Winterfell with Daenerys Targaryen. You you saw this in a vision?
14/04/2019,Winterfell,0.0,0.0,1.0,0.0,8.0,1.0,jon snow,"Queen Daenerys of House Targaryen. My sister, Sansa Stark, the Lady of Winterfell."
14/04/2019,Winterfell,0.0,0.137,0.863,-0.431,8.0,1.0,bronn,"So, she wants to murder someone, but she can't send her soldiers. If it's the Dragon Queen she's after-"
14/04/2019,Winterfell,0.0,0.0,1.0,0.0,8.0,1.0,theon greyjoy,Daenerys went north.
14/04/2019,Winterfell,0.085,0.204,0.711,-0.5423,8.0,1.0,yara greyjoy,Daenerys will need somewhere to retreat if they can't hold the North. Somewhere the dead can't go.
14/04/2019,Winterfell,0.0,0.223,0.777,-0.4063,8.0,1.0,varys,You overestimate our influence. Jon and Daenerys don't want to listen to lonely old men.
14/04/2019,Winterfell,0.0,0.248,0.752,-0.5106,8.0,1.0,sam tarly,Daenerys. She executed my father and brother. They were her prisoners.
14/04/2019,Winterfell,0.0,0.0,1.0,0.0,8.0,1.0,jon snow,Daenerys is our queen.
21/04/2019,A Knight of the Seven Kingdoms,0.0,0.0,1.0,0.0,8.0,2.0,tyrion lannister,They remember what happened the last time Targaryens brought dragons north. They'll come around once they see Daenerys is different.
21/04/2019,A Knight of the Seven Kingdoms,0.153,0.177,0.669,-0.4234,8.0,2.0,grey worm,"When Daenerys takes her throne there will be no place for us here. I am loyal to my queen. I will fight for her until her enemies are defeated, but when the war is over and she has won, do you want to grow old in this place? Is there nothing else you want to do, nothing else you want to see?"
21/04/2019,A Knight of the Seven Kingdoms,0.359,0.0,0.641,0.4215,8.0,2.0,jon snow,"It's true, Dany. I know it is."
28/04/2019,The Long Night,0.0,0.0,1.0,0.0,8.0,3.0,jon snow,Dany!
28/04/2019,The Long Night,0.23,0.214,0.556,0.0516,8.0,3.0,sansa stark,The Dragon Queen. Your divided loyalties would become a problem.
28/04/2019,The Long Night,0.113,0.385,0.502,-0.7579,8.0,3.0,missandei,"Yes. Without the Dragon Queen, there'd be no problem at all. We'd all be dead already."
12/05/2019,The Bells,0.094,0.0,0.906,0.3612,8.0,5.0,tyrion lannister,"If Daenerys can make it to the throne without wading through a river of blood, maybe she'll show mercy to the person who made that possible."
19/05/2019,The Iron Throne,0.216,0.205,0.579,-0.2023,8.0,6.0,grey worm,"In the name of the one true queen, Daenerys Targaryen, I sentence you to die."
19/05/2019,The Iron Throne,0.112,0.06,0.828,0.2681,8.0,6.0,tyrion lannister,Why do you think Sansa told me the truth about you? Because she doesn't want Dany to be queen.
19/05/2019,The Iron Throne,0.697,0.0,0.303,0.3182,8.0,6.0,jon snow,"Please, Dany."
19/05/2019,The Iron Throne,0.116,0.0,0.884,0.2732,8.0,6.0,yara greyjoy,Some of you may be quick to forgive. The Ironborn are not. I swore to follow Daenerys Targaryen.
19/05/2019,The Iron Throne,0.0,0.456,0.544,-0.8979,8.0,6.0,tyrion lannister,"Half the people hate me for serving Daenerys, the other half hate me for betraying her."
