Release Date,Episode Title,pos,neg,neu,compound,Season,Episode,Name,Sentence
31/05/2015,Hardhome,0.0,0.233,0.767,-0.8131,5.0,8.0,sam,"Jon's taking a risk, but he has to. We don't stand a chance otherwise. Sometimes a man has to make hard choices, choices that might look wrong to others but you know are right in the long run."
31/05/2015,Hardhome,0.025,0.181,0.794,-0.8519,5.0,8.0,loboda,"Keep that new life you want to give us. Keep your glass, King Crow. Soon as you get on his ships they're gonna slit your throats and dump your bodies to the bottom of the Shivering Sea. That's our enemy. That has always been our enemy."
24/04/2015,The Red Woman,0.061,0.186,0.753,-0.9584,6.0,1.0,alliser thorne,"We've committed treason, all of us Jon Snow was my Lord Commander I had no love for him That was no secret But I never once disobeyed an order Loyalty is the foundation on which the Night's Watch is built, and the Watch means everything to me I have given my life, we have all given our lives to the Night's Watch Jon Snow was going to destroy the Night's Watch He let the wildlings through our gates, as no Lord Commander has ever done before He gave them the very land on which they reaved and raped and murdered Lord Commander Snow did what he thought was right, I've no doubt about that And what he thought was right would have been the end of us He thrust a terrible choice upon us, and we made it"
24/04/2015,The Red Woman,0.061,0.186,0.753,-0.9584,6.0,1.0,alliser thorne,"We've committed treason, all of us Jon Snow was my Lord Commander I had no love for him That was no secret But I never once disobeyed an order Loyalty is the foundation on which the Night's Watch is built, and the Watch means everything to me I have given my life, we have all given our lives to the Night's Watch Jon Snow was going to destroy the Night's Watch He let the wildlings through our gates, as no Lord Commander has ever done before He gave them the very land on which they reaved and raped and murdered Lord Commander Snow did what he thought was right, I've no doubt about that And what he thought was right would have been the end of us He thrust a terrible choice upon us, and we made it"
01/05/2016,Home,0.0,0.2,0.8,-0.8402,6.0,2.0,ramsay bolton,"Castle Black isn't defended on the southern side And the few men left are barely men at all. Farm boys and thieves With a small force we could storm the castle, kill Jon Snow --"
01/05/2016,Home,0.0,0.2,0.8,-0.8402,6.0,2.0,ramsay bolton,"Castle Black isn't defended on the southern side And the few men left are barely men at all. Farm boys and thieves With a small force we could storm the castle, kill Jon Snow --"
08/05/2016,Oathbreaker,0.313,0.0,0.687,0.8548,6.0,3.0,sam tarly,I said that because I want you and Little Same to be safe That's all I want -- to become a maester so I can help Jon when the time comes so you'll be safe
08/05/2016,Oathbreaker,0.04,0.23,0.73,-0.9001,6.0,3.0,smalljon,"The bastard Jon Snow led an army of wildlings past the Wall We're farther north than any of you fuckers Wildlings come down, we always have to fight them first I like fighting wildlings, been doing it all my life But there are too many of them for us to beat back alone"
08/05/2016,Oathbreaker,0.04,0.23,0.73,-0.9001,6.0,3.0,smalljon,"The bastard Jon Snow led an army of wildlings past the Wall We're farther north than any of you fuckers Wildlings come down, we always have to fight them first I like fighting wildlings, been doing it all my life But there are too many of them for us to beat back alone"
08/05/2016,Oathbreaker,0.04,0.23,0.73,-0.9001,6.0,3.0,smalljon,"The bastard Jon Snow led an army of wildlings past the Wall We're farther north than any of you fuckers Wildlings come down, we always have to fight them first I like fighting wildlings, been doing it all my life But there are too many of them for us to beat back alone"
08/05/2016,Oathbreaker,0.0,0.492,0.508,-0.8271,6.0,3.0,alliser throne,"I fought, I lost Now I rest But you, Lord Snow, you'll be fighting their battles forever"
15/05/2016,Book of the Stranger,0.076,0.195,0.728,-0.8481,6.0,4.0,sansa stark,"JON SNOW, BRIENNE, TORMUND, and DOLOROUS EDD are eating at a table. SANSA looks at the meat on her fork. JON SNOW, DOLOROUS EDD, and TORMUND eat vigorously. BRIENNE looks around at the men eating. TORMUND stares intently at BRIENNE. BRIENNE looks away. TORMUND smiles. DOLOROUS EDD notices their interaction."
15/05/2016,Book of the Stranger,0.076,0.195,0.728,-0.8481,6.0,4.0,sansa stark,"JON SNOW, BRIENNE, TORMUND, and DOLOROUS EDD are eating at a table. SANSA looks at the meat on her fork. JON SNOW, DOLOROUS EDD, and TORMUND eat vigorously. BRIENNE looks around at the men eating. TORMUND stares intently at BRIENNE. BRIENNE looks away. TORMUND smiles. DOLOROUS EDD notices their interaction."
29/05/2016,Blood of My Blood,0.288,0.0,0.712,0.8173,6.0,6.0,sam,"Rabbits. Sometimes squirrels. I say “we,” it's my friend Jon mostly. Sometimes Edd. Oh, and Gilly. She's- - she's quite a good hunter as well. Um, huntress."
