Release Date,Episode Title,pos,neg,neu,compound,Episode,Season,Name,Sentence
30/07/2017,The Queen’s Justice,0.197,0.066,0.737,0.7994,3.0,7.0,jon snow,But you haven't stormed King's Landing. Why not? The only reason I can see is you don't want to kill thousands of innocent people. It's the fastest way to win the war but you won't do it. Which means at the very least you're better than Cersei.
30/07/2017,The Queen’s Justice,0.074,0.187,0.739,-0.4141,3.0,7.0,jon snow,"Because right now you and I and Cersei and everyone else, we're children playing at a game screaming that the rules aren't fair."
30/07/2017,The Queen’s Justice,0.0,0.0,1.0,0.0,3.0,7.0,daenerys targaryen,You know I'm not going to let Cersei stay on the Iron Throne.
30/07/2017,The Queen’s Justice,0.182,0.0,0.818,0.4404,3.0,7.0,petyr baelish,I know Cersei better than anyone here. If you turn your back on her --
30/07/2017,The Queen’s Justice,0.0,0.256,0.744,-0.3412,3.0,7.0,sansa stark,You don't know Cersei better than anyone here.
30/07/2017,The Queen’s Justice,0.229,0.154,0.617,0.1779,3.0,7.0,tyrion lannister,Yes. Cersei believes my sole purpose in life is to destroy House Lannister. She will be ready.
30/07/2017,The Queen’s Justice,0.252,0.058,0.69,0.6842,3.0,7.0,jaime lannister,"The truth is Casterly Rock isn't worth much anymore. Well, it is to me. My fond childhood memories won't keep Cersei on the throne."
30/07/2017,The Queen’s Justice,0.071,0.0,0.929,0.3818,3.0,7.0,jaime lannister,Cersei had several ideas. Whipping you through the streets and beheading you in front of the Red Keep. Flaying you alive and hanging you from the walls of King's Landing. I talked her out of those.
30/07/2017,The Queen’s Justice,0.048,0.219,0.733,-0.9382,3.0,7.0,olenna tyrell,"I'd hate to die like your son clawing at my neck, foam and bile spilling from my mouth, eyes blood red, skin purple. It must have been horrible for you as a Kingsguard, as a father. It was horrible enough for me. A shocking scene. Not at all what I intended. You see, I'd never seen the posion work before. Tell Cersei. I want her to know it was me."
06/08/2017,The Spoils Of War,0.506,0.0,0.494,0.802,4.0,7.0,bronn,"Yes, I'm sure Queen Cersei's reign will be quiet and peaceful."
06/08/2017,The Spoils Of War,0.0,0.0,1.0,0.0,4.0,7.0,bran stark,Cersei is on her list of names.
06/08/2017,The Spoils Of War,0.068,0.0,0.932,0.0258,4.0,7.0,daenerys targaryen,Who won't be able to eat because Cersei has taken all the food from the Reach.
13/08/2017,Eastwatch,0.0,0.0,1.0,0.0,5.0,7.0,jaime lannister,I have to tell Cersei.
13/08/2017,Eastwatch,0.0,0.212,0.788,-0.5423,5.0,7.0,daenerys targaryen,"I know what Cersei has told you, that I've come to destroy your cities --"
13/08/2017,Eastwatch,0.13,0.226,0.644,-0.8381,5.0,7.0,daenerys targaryen,"burn down your homes, murder you and orphan your children. That's Cersei Lannister, not me. I'm not here to murder. And all I want to destroy is the wheel that is rolled over rich and poor to the benefit of no one but the Cersei Lannisters of the world. I offer you a choice. Bend the knee and join me. Together we will leave the world a better place than we found it, or refuse and die."
13/08/2017,Eastwatch,0.0,0.0,1.0,0.0,5.0,7.0,jaime lannister,"is quickly walking down the hall leading to CERSEI's room. As he approaches, QYBURN exits the queen's chambers."
13/08/2017,Eastwatch,0.0,0.0,1.0,0.0,5.0,7.0,jaime lannister,passes by QYBURN without saying a word and barges into CERSEI's quarters. CERSEI stand and walks over to JAIME.
13/08/2017,Eastwatch,0.0,0.0,1.0,0.0,5.0,7.0,jaime lannister,walks across the room to where CERSEI is standing.
13/08/2017,Eastwatch,0.0,0.0,1.0,0.0,5.0,7.0,daenerys targaryen,And give the country to Cersei? As soon as I march away she marches in.
13/08/2017,Eastwatch,0.0,0.292,0.708,-0.872,5.0,7.0,tyrion lannister,Perhaps not. Cersei thinks the Army of the Dead is nothing but a story made up by wet nurses to frighten children. What if we prove her wrong?
13/08/2017,Eastwatch,0.231,0.077,0.692,0.6745,5.0,7.0,varys,Anything you bring back will be useless unless Cersei grants us an audience and is somehow convinced not to murder us the moment we set foot in the capital.
13/08/2017,Eastwatch,0.164,0.261,0.575,-0.6731,5.0,7.0,tyrion lannister,Daenerys will win this war. You're a military man. You must know there is no way around it. Daenerys is not her father. She's even willing to suspend hostilities if Cersei agrees to certain terms.
13/08/2017,Eastwatch,0.106,0.0,0.894,0.0772,5.0,7.0,jaime lannister,You want Cersei to bend the knee you can ask her yourself.
13/08/2017,Eastwatch,0.0,0.15,0.85,-0.1926,5.0,7.0,guard,Arrangement? You gonna arrange to pay us more than Queen Cersei?
13/08/2017,Eastwatch,0.0,0.0,1.0,0.0,5.0,7.0,jaime lannister,opens the door and step into the queen's room. CERSEI is seated near a window speaking to QYBURN.
13/08/2017,Eastwatch,0.0,0.083,0.917,-0.25,5.0,7.0,qyburn,closes the door as he leaves. JAIME and CERSEI are alone. CERSEI begins walking over to a chair in front of JAIME and sits.
13/08/2017,Eastwatch,0.362,0.0,0.638,0.7003,5.0,7.0,jaime lannister,reaches forward and takes CERSEI and kisses her. While they embrace CERSEI speaks to JAIME.
20/08/2017,Beyond the Wall,0.069,0.161,0.771,-0.5106,6.0,7.0,arya stark,And you were stupid enough to believe them. I remember you standing on that platform with Joffrey and Cersei when they dragged father too the block. I remember the pretty dress you were wearing. I remember the fancy way you did your hair.
20/08/2017,Beyond the Wall,0.108,0.073,0.819,0.296,6.0,7.0,sansa stark,"Do you know how happy Cersei would be if she saw us fighting? This is exactly what she wants. This is what she's always wanted, to tear us apart --"
20/08/2017,Beyond the Wall,0.0,0.0,1.0,0.0,6.0,7.0,arya stark,"The northern lords will read it. They wouldn't think much of Lady Sansa if they knew how she did Cersei's bidding. What would little Lyanna Mormont say? She's younger than you were when you wrote this. Are you going to say, ""But I was just a child""?"
27/08/2017,The Dragon and the Wolf,0.0,0.0,1.0,0.0,7.0,7.0,tyrion lannister,Cersei will anyway.
27/08/2017,The Dragon and the Wolf,0.059,0.12,0.821,-0.6139,7.0,7.0,bronn,"I put yourself at risk. Important difference. It's your head Queen Cersei's offered a bag of gold for, it's not mine. Now, thanks to me, she's got two traitors' heads coming right through her door. She can lop them both off as soon as she gets tired of the clever words that pour out their pieholes. All thanks to Ser Bronn of the fucking Blackwater. If that's not looking after myself, I don't know what is."
27/08/2017,The Dragon and the Wolf,0.234,0.292,0.474,-0.1833,7.0,7.0,tyrion lannister,I don't want Cersei to murder me either. I could have stayed in my cell and saved a great deal of trouble.
27/08/2017,The Dragon and the Wolf,0.0,0.0,1.0,0.0,7.0,7.0,tyrion lannister,"Cersei, I didn't know."
