Release Date,Episode Title,pos,neg,neu,compound,Episode,Season,Name,Sentence
12/06/2011,Baelor,0.146,0.0,0.854,0.4404,9.0,1.0,catelyn stark,You will be taking on his son Olyvar as your personal squire. He expects a knighthood in good time.
18/05/2014,Mockingbird,0.0,0.0,1.0,0.0,7.0,4.0,hot pie,She weren't when I last spoke to her.
05/06/2016,The Broken Man,0.0,0.18,0.82,-0.8779,7.0,6.0,ray,"I was gonna give you a proper burial and then you coughed. Oh, nearly shit myself. I reckoned you were gonna die by the time I loaded you on the wagon, but you didn't. Now, I reckoned you'd die a dozen more times over the next few days, but you didn't. What kept you going?"
05/06/2011,The Pointy End,0.0,0.0,1.0,0.0,8.0,1.0,jon snow,My sisters were in King's Landing too.
30/07/2017,The Queen’s Justice,0.0,0.0,1.0,0.0,3.0,7.0,daenerys targaryen,You know I'm not going to let Cersei stay on the Iron Throne.
31/03/2013,Valar Dohaeris,0.0,0.0,1.0,0.0,1.0,3.0,man,Fall back!
21/04/2019,A Knight of the Seven Kingdoms,0.412,0.0,0.588,0.2732,2.0,8.0,tyrion lannister,"Well, here we are."
13/04/2014,The Lion and the Rose,0.387,0.0,0.613,0.5684,2.0,4.0,ramsay bolton,"You brought her down. That's what matters. A fine shot. Wasn't it, Reek?"
06/08/2017,The Spoils Of War,0.0,0.0,1.0,0.0,4.0,7.0,arya stark,stares at BRAN. ARYA turns to look at SANSA.
27/04/2014,Oathkeeper,0.0,0.0,1.0,0.0,4.0,4.0,daenerys targaryen,How are the lessons coming?
12/06/2016,No One,0.0,0.0,1.0,0.0,8.0,6.0,podrick,I'm her squire.
12/05/2019,The Bells,0.0,0.0,1.0,0.0,5.0,8.0,tyrion lannister,Ordered by whom? The queen herself?
19/06/2016,Battle of the Bastards,0.0,0.0,1.0,0.0,9.0,6.0,daenerys targaryen,And that's all?
19/05/2013,Second Sons,0.0,0.555,0.445,-0.6103,8.0,3.0,gilly,"No, you can't have him! No!"
13/04/2014,The Lion and the Rose,0.313,0.0,0.687,0.6249,2.0,4.0,joffrey lannister,Such a great sword should have a name. What shall I call her?
13/04/2014,The Lion and the Rose,0.0,0.0,1.0,0.0,2.0,4.0,shae,What are you afraid of?
08/05/2011,"Cripples, Bastards and Broken Things",0.0,0.0,1.0,0.0,4.0,1.0,cersei lannister,"You're just a soldier, aren't you? You take your orders and you carry on. I suppose it makes sense. Your older brother was trained to lead and you were trained to follow."
20/04/2014,Breaker of Chains,0.0,0.0,1.0,0.0,3.0,4.0,tywin lannister,Which way is that?
01/05/2016,Home,0.0,0.0,1.0,0.0,2.0,6.0,young benjen,I don't know
05/06/2016,The Broken Man,0.0,0.0,1.0,0.0,7.0,6.0,sparrow,"Ah, “As water rounds the stones, smoothing- -”"
09/06/2013,Mhysa,0.0,0.0,1.0,0.0,10.0,3.0,sam,To Castle Black. I'm a brother of the Night's Watch.
29/04/2012,The Ghost of Harrenhal,0.0,0.417,0.583,-0.6486,5.0,2.0,catelyn stark,You can't avenge him if you're dead.
07/06/2015,The Dance of Dragons,0.307,0.0,0.693,0.4767,9.0,5.0,announcer,"My queen, our first contest. Who will triumph"
11/05/2014,The Laws of Gods and Men,0.119,0.0,0.881,0.2235,6.0,4.0,varys,Only Varys. I'm not actually a nobleman. No one is under obligation to call me lord.
15/04/2012,What Is Dead May Never Die,0.208,0.0,0.792,0.2732,3.0,2.0,petyr baelish,"And Harrenhal, I suppose that's off the table as well."
20/05/2012,The Prince of Winterfell,0.428,0.0,0.572,0.9564,8.0,2.0,varys,"You're quite good at being Hand, you know? Jon Arryn and Ned Stark were good men. Honorable men. But they disdained the game and those who played. You enjoy the game."
27/08/2017,The Dragon and the Wolf,0.195,0.0,0.805,0.4404,7.0,7.0,cersei lannister,What did you hope for? To make Jon Snow submit to your queen.
22/05/2016,The Door,0.0,0.412,0.588,-0.2732,5.0,6.0,petyr baelish,Did he cut you?
19/04/2015,The House of Black and White,0.0,0.0,1.0,0.0,2.0,5.0,stannis baratheon,"Kneel before me. Lay your sword at my feet. Pledge me your service and you'll rise again as Jon Stark, Lord of Winterfell."
01/05/2016,Home,0.341,0.0,0.659,0.4767,2.0,6.0,lord karstark,You're talking to your lord Use respect
